"Year","Quarter","Country","Brand","Market Share"
"2018","1","Germany","ZTE","0.88"
"2018","2","Germany","ZTE","1.04"
"2018","3","Germany","ZTE","0.98"
"2018","4","Germany","ZTE","0.85"
"2015","1","Germany","Alcatel","0.32"
"2015","2","Germany","Alcatel","0.33"
"2015","3","Germany","Alcatel","0.34"
"2015","4","Germany","Alcatel","0.31"
"2016","1","Germany","Alcatel","0.27"
"2016","2","Germany","Alcatel","0.21"
"2016","3","Germany","Alcatel","0.17"
"2016","4","Germany","Alcatel","0.2"
"2017","1","Germany","Alcatel","0.32"
"2017","2","Germany","Alcatel","0.35"
"2017","3","Germany","Alcatel","0.36"
"2017","4","Germany","Alcatel","0.28"
"2018","1","Germany","Alcatel","0.25"
"2018","2","Germany","Alcatel","0.3"
"2018","3","Germany","Alcatel","0.54"
"2018","4","Germany","Alcatel","0.49"
