"Year","Quarter","Country","Brand","Market Share"
"2016","2","Ireland","ZTE","0.02"
"2016","3","Ireland","ZTE","0.03"
"2016","4","Ireland","ZTE","0.03"
"2017","1","Ireland","ZTE","0.05"
"2017","2","Ireland","ZTE","0.05"
"2017","3","Ireland","ZTE","0.04"
"2017","4","Ireland","ZTE","0.05"
"2018","1","Ireland","ZTE","0.04"
"2018","2","Ireland","ZTE","0.05"
"2018","3","Ireland","ZTE","0.05"
"2018","4","Ireland","ZTE","0.04"
"2015","1","Ireland","Alcatel","0.24"
"2015","2","Ireland","Alcatel","0.18"
"2015","3","Ireland","Alcatel","0.17"
"2015","4","Ireland","Alcatel","0.14"
"2016","1","Ireland","Alcatel","0.1"
"2016","2","Ireland","Alcatel","0.07"
"2016","3","Ireland","Alcatel","0.05"
"2016","4","Ireland","Alcatel","0.24"
"2017","1","Ireland","Alcatel","0.7"
"2017","2","Ireland","Alcatel","0.8"
"2017","3","Ireland","Alcatel","0.74"
"2017","4","Ireland","Alcatel","0.68"
"2018","1","Ireland","Alcatel","0.65"
"2018","2","Ireland","Alcatel","0.78"
"2018","3","Ireland","Alcatel","0.98"
"2018","4","Ireland","Alcatel","0.99"
