"Year","Quarter","Country","Brand","Market Share"
"2018","1","Australia","ZTE","0.98"
"2018","2","Australia","ZTE","0.95"
"2018","3","Australia","ZTE","0.74"
"2018","4","Australia","ZTE","0.59"
"2015","1","Australia","Alcatel","0.12"
"2015","2","Australia","Alcatel","0.14"
"2015","3","Australia","Alcatel","0.12"
"2015","4","Australia","Alcatel","0.11"
"2016","1","Australia","Alcatel","0.08"
"2016","2","Australia","Alcatel","0.07"
"2016","3","Australia","Alcatel","0.05"
"2016","4","Australia","Alcatel","0.12"
"2017","1","Australia","Alcatel","0.16"
"2017","2","Australia","Alcatel","0.17"
"2017","3","Australia","Alcatel","0.21"
"2017","4","Australia","Alcatel","0.18"
"2018","1","Australia","Alcatel","0.24"
"2018","2","Australia","Alcatel","0.22"
"2018","3","Australia","Alcatel","0.43"
"2018","4","Australia","Alcatel","0.9"
